image_path,annotation_path,country,split,label,label_name,has_pothole,num_objects,num_pothole_objects,unique_object_labels,object_labels,image_width,image_height
datasets/rdd2022/United_States/train/images/United_States_000692.jpg,datasets/rdd2022/United_States/train/annotations/xmls/United_States_000692.xml,United_States,train,0,non_pothole,0,3,0,D00|D20,D00|D20|D00,640,640
datasets/rdd2022/United_States/train/images/United_States_004674.jpg,datasets/rdd2022/United_States/train/annotations/xmls/United_States_004674.xml,United_States,train,0,non_pothole,0,2,0,D00,D00|D00,640,640
datasets/rdd2022/United_States/train/images/United_States_000468.jpg,datasets/rdd2022/United_States/train/annotations/xmls/United_States_000468.xml,United_States,train,0,non_pothole,0,6,0,D00|D10|D20,D10|D20|D00|D00|D10|D10,640,640
datasets/rdd2022/India/train/images/India_006091.jpg,datasets/rdd2022/India/train/annotations/xmls/India_006091.xml,India,train,0,non_pothole,0,1,0,D00,D00,720,720
datasets/rdd2022/India/train/images/India_005326.jpg,datasets/rdd2022/India/train/annotations/xmls/India_005326.xml,India,train,0,non_pothole,0,0,0,,,720,720
datasets/rdd2022/Japan/train/images/Japan_002995.jpg,datasets/rdd2022/Japan/train/annotations/xmls/Japan_002995.xml,Japan,train,1,pothole,1,2,1,D40|D50,D40|D50,600,600
datasets/rdd2022/Japan/train/images/Japan_009000.jpg,datasets/rdd2022/Japan/train/annotations/xmls/Japan_009000.xml,Japan,train,0,non_pothole,0,1,0,D20,D20,600,600
datasets/rdd2022/Czech/train/images/Czech_002782.jpg,datasets/rdd2022/Czech/train/annotations/xmls/Czech_002782.xml,Czech,train,0,non_pothole,0,1,0,D00,D00,600,600
datasets/rdd2022/Norway/train/images/Norway_003188.jpg,datasets/rdd2022/Norway/train/annotations/xmls/Norway_003188.xml,Norway,train,0,non_pothole,0,0,0,,,4040,2035
datasets/rdd2022/Japan/train/images/Japan_007155.jpg,datasets/rdd2022/Japan/train/annotations/xmls/Japan_007155.xml,Japan,train,0,non_pothole,0,2,0,D44,D44|D44,600,600
datasets/rdd2022/India/train/images/India_008648.jpg,datasets/rdd2022/India/train/annotations/xmls/India_008648.xml,India,train,0,non_pothole,0,3,0,D01|D50,D50|D01|D01,720,720
datasets/rdd2022/India/train/images/India_005610.jpg,datasets/rdd2022/India/train/annotations/xmls/India_005610.xml,India,train,0,non_pothole,0,0,0,,,720,720
datasets/rdd2022/Japan/train/images/Japan_012866.jpg,datasets/rdd2022/Japan/train/annotations/xmls/Japan_012866.xml,Japan,train,0,non_pothole,0,5,0,D00|D20|D44,D44|D44|D00|D00|D20,600,600
datasets/rdd2022/India/train/images/India_003096.jpg,datasets/rdd2022/India/train/annotations/xmls/India_003096.xml,India,train,1,pothole,1,1,1,D40,D40,720,720
datasets/rdd2022/Norway/train/images/Norway_004047.jpg,datasets/rdd2022/Norway/train/annotations/xmls/Norway_004047.xml,Norway,train,0,non_pothole,0,0,0,,,4040,2035
datasets/rdd2022/Japan/train/images/Japan_003224.jpg,datasets/rdd2022/Japan/train/annotations/xmls/Japan_003224.xml,Japan,train,1,pothole,1,4,3,D20|D40,D40|D40|D40|D20,600,600
datasets/rdd2022/Norway/train/images/Norway_002523.jpg,datasets/rdd2022/Norway/train/annotations/xmls/Norway_002523.xml,Norway,train,0,non_pothole,0,0,0,,,4040,2035
datasets/rdd2022/China_MotorBike/train/images/China_MotorBike_000085.jpg,datasets/rdd2022/China_MotorBike/train/annotations/xmls/China_MotorBike_000085.xml,China_MotorBike,train,0,non_pothole,0,1,0,D00,D00,512,512
datasets/rdd2022/India/train/images/India_005080.jpg,datasets/rdd2022/India/train/annotations/xmls/India_005080.xml,India,train,1,pothole,1,1,1,D40,D40,720,720
datasets/rdd2022/Norway/train/images/Norway_004947.jpg,datasets/rdd2022/Norway/train/annotations/xmls/Norway_004947.xml,Norway,train,1,pothole,1,3,1,D00|D10|D40,D40|D10|D00,3650,2044
datasets/rdd2022/Czech/train/images/Czech_002614.jpg,datasets/rdd2022/Czech/train/annotations/xmls/Czech_002614.xml,Czech,train,0,non_pothole,0,1,0,D00,D00,600,600
datasets/rdd2022/United_States/train/images/United_States_000245.jpg,datasets/rdd2022/United_States/train/annotations/xmls/United_States_000245.xml,United_States,train,0,non_pothole,0,1,0,D10,D10,640,640
datasets/rdd2022/India/train/images/India_001910.jpg,datasets/rdd2022/India/train/annotations/xmls/India_001910.xml,India,train,0,non_pothole,0,3,0,D01|D11,D01|D01|D11,720,720
datasets/rdd2022/Norway/train/images/Norway_002439.jpg,datasets/rdd2022/Norway/train/annotations/xmls/Norway_002439.xml,Norway,train,0,non_pothole,0,5,0,D00,D00|D00|D00|D00|D00,3650,2044
datasets/rdd2022/Japan/train/images/Japan_006947.jpg,datasets/rdd2022/Japan/train/annotations/xmls/Japan_006947.xml,Japan,train,0,non_pothole,0,2,0,D44|D50,D44|D50,600,600
datasets/rdd2022/United_States/train/images/United_States_003192.jpg,datasets/rdd2022/United_States/train/annotations/xmls/United_States_003192.xml,United_States,train,0,non_pothole,0,1,0,D10,D10,640,640
datasets/rdd2022/China_MotorBike/train/images/China_MotorBike_000414.jpg,datasets/rdd2022/China_MotorBike/train/annotations/xmls/China_MotorBike_000414.xml,China_MotorBike,train,0,non_pothole,0,4,0,D00|D10,D00|D10|D00|D10,512,512
datasets/rdd2022/Norway/train/images/Norway_002172.jpg,datasets/rdd2022/Norway/train/annotations/xmls/Norway_002172.xml,Norway,train,0,non_pothole,0,0,0,,,4040,2035
