split,country,images,pothole_images,non_pothole_images,pothole_fraction,objects,pothole_objects
train,China_Drone,572,44,528,0.07692307692307693,944,60
train,China_MotorBike,514,114,400,0.22178988326848248,1374,165
train,Czech,726,108,618,0.1487603305785124,528,132
train,India,2425,1070,1355,0.44123711340206184,3953,2234
train,Japan,3016,974,2042,0.3229442970822281,7750,1546
train,Norway,1934,180,1754,0.09307135470527404,3286,307
train,United_States,1101,82,1019,0.07447774750227067,2593,95
train,__split_total__,10288,2572,7716,0.25,20428,4539
validation,China_Drone,361,10,351,0.027700831024930747,584,12
validation,China_MotorBike,297,25,272,0.08417508417508418,769,38
validation,Czech,424,23,401,0.054245283018867926,270,33
validation,India,1156,230,926,0.19896193771626297,1315,526
validation,Japan,1575,208,1367,0.13206349206349208,3740,339
validation,Norway,1224,38,1186,0.03104575163398693,1587,72
validation,United_States,720,17,703,0.02361111111111111,1621,22
validation,__split_total__,5757,551,5206,0.09570957095709572,9886,1042
test,China_Drone,361,10,351,0.027700831024930747,568,14
test,China_MotorBike,297,25,272,0.08417508417508418,734,32
test,Czech,424,23,401,0.054245283018867926,253,32
test,India,1156,230,926,0.19896193771626297,1173,427
test,Japan,1575,208,1367,0.13206349206349208,3849,358
test,Norway,1224,38,1186,0.03104575163398693,1741,82
test,United_States,720,17,703,0.02361111111111111,1631,18
test,__split_total__,5757,551,5206,0.09570957095709572,9949,963
all,China_Drone,1294,64,1230,0.04945904173106646,2096,86
all,China_MotorBike,1108,164,944,0.148014440433213,2877,235
all,Czech,1574,154,1420,0.09783989834815757,1051,197
all,India,4737,1530,3207,0.3229892336922103,6441,3187
all,Japan,6166,1390,4776,0.22542977619202076,15339,2243
all,Norway,4382,256,4126,0.05842081241442264,6614,461
all,United_States,2541,116,2425,0.045651318378591106,5845,135
all,__dataset_total__,21802,3674,18128,0.16851664984863773,40263,6544
