split,country,images,pothole_images,non_pothole_images,pothole_fraction,objects,pothole_objects
train,China_Drone,889,44,845,0.049493813273340834,1432,60
train,China_MotorBike,783,114,669,0.14559386973180077,2002,165
train,Czech,1099,108,991,0.09827115559599636,759,132
train,India,3309,1070,2239,0.32336053188274405,4464,2234
train,Japan,4417,974,3443,0.22051165949739643,10711,1546
train,Norway,3140,180,2960,0.05732484076433121,4607,307
train,United_States,1795,82,1713,0.045682451253481894,4168,95
train,__split_total__,15432,2572,12860,0.16666666666666666,28143,4539
validation,China_Drone,361,10,351,0.027700831024930747,584,12
validation,China_MotorBike,297,25,272,0.08417508417508418,769,38
validation,Czech,424,23,401,0.054245283018867926,270,33
validation,India,1156,230,926,0.19896193771626297,1315,526
validation,Japan,1575,208,1367,0.13206349206349208,3740,339
validation,Norway,1224,38,1186,0.03104575163398693,1587,72
validation,United_States,720,17,703,0.02361111111111111,1621,22
validation,__split_total__,5757,551,5206,0.09570957095709572,9886,1042
test,China_Drone,361,10,351,0.027700831024930747,568,14
test,China_MotorBike,297,25,272,0.08417508417508418,734,32
test,Czech,424,23,401,0.054245283018867926,253,32
test,India,1156,230,926,0.19896193771626297,1173,427
test,Japan,1575,208,1367,0.13206349206349208,3849,358
test,Norway,1224,38,1186,0.03104575163398693,1741,82
test,United_States,720,17,703,0.02361111111111111,1631,18
test,__split_total__,5757,551,5206,0.09570957095709572,9949,963
all,China_Drone,1611,64,1547,0.03972687771570453,2584,86
all,China_MotorBike,1377,164,1213,0.11909949164851126,3505,235
all,Czech,1947,154,1793,0.07909604519774012,1282,197
all,India,5621,1530,4091,0.27219355986479277,6952,3187
all,Japan,7567,1390,6177,0.18369234835469803,18300,2243
all,Norway,5588,256,5332,0.04581245526127416,7935,461
all,United_States,3235,116,3119,0.03585780525502318,7420,135
all,__dataset_total__,26946,3674,23272,0.13634676760929265,47978,6544
