split,country,patches,pothole_patches,non_pothole_patches,pothole_fraction
train,China_Drone,3835,86,3749,0.02242503259452412
train,China_MotorBike,4785,146,4639,0.030512016718913272
train,Czech,1738,191,1547,0.10989643268124281
train,India,8196,3180,5016,0.38799414348462663
train,__split_total__,18554,3603,14951,0.19418993209011534
validation,United_States,10958,109,10849,0.009947070633327249
validation,__split_total__,10958,109,10849,0.009947070633327249
test,Japan,24088,2131,21957,0.08846728661574228
test,Norway,11117,451,10666,0.040568498695691284
test,__split_total__,35205,2582,32623,0.07334185485016333
all,China_Drone,3835,86,3749,0.02242503259452412
all,China_MotorBike,4785,146,4639,0.030512016718913272
all,Czech,1738,191,1547,0.10989643268124281
all,India,8196,3180,5016,0.38799414348462663
all,Japan,24088,2131,21957,0.08846728661574228
all,Norway,11117,451,10666,0.040568498695691284
all,United_States,10958,109,10849,0.009947070633327249
all,__dataset_total__,64717,6294,58423,0.09725419905125392
