image_path,annotation_path,country,split,label,label_name,source_object_label,patch_source,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,patch_xmin,patch_ymin,patch_xmax,patch_ymax,image_width,image_height
datasets/rdd2022/China_Drone/train/images/China_Drone_000000.jpg,datasets/rdd2022/China_Drone/train/annotations/xmls/China_Drone_000000.xml,China_Drone,train,0,non_pothole,D10,annotation_box,323,213,390,245,313,186,400,273,512,512
datasets/rdd2022/China_Drone/train/images/China_Drone_000001.jpg,datasets/rdd2022/China_Drone/train/annotations/xmls/China_Drone_000001.xml,China_Drone,train,0,non_pothole,D10,annotation_box,14,70,198,99,0,0,239,239,512,512
datasets/rdd2022/China_Drone/train/images/China_Drone_000001.jpg,datasets/rdd2022/China_Drone/train/annotations/xmls/China_Drone_000001.xml,China_Drone,train,0,non_pothole,D00,annotation_box,95,114,120,272,5,90,210,295,512,512
datasets/rdd2022/China_Drone/train/images/China_Drone_000002.jpg,datasets/rdd2022/China_Drone/train/annotations/xmls/China_Drone_000002.xml,China_Drone,train,0,non_pothole,D00,annotation_box,12,214,68,511,0,126,386,512,512,512
datasets/rdd2022/China_Drone/train/images/China_Drone_000002.jpg,datasets/rdd2022/China_Drone/train/annotations/xmls/China_Drone_000002.xml,China_Drone,train,0,non_pothole,D00,annotation_box,60,1,112,212,0,0,274,274,512,512
datasets/rdd2022/China_Drone/train/images/China_Drone_000003.jpg,datasets/rdd2022/China_Drone/train/annotations/xmls/China_Drone_000003.xml,China_Drone,train,0,non_pothole,D10,annotation_box,9,467,204,489,0,258,254,512,512,512
datasets/rdd2022/China_Drone/train/images/China_Drone_000003.jpg,datasets/rdd2022/China_Drone/train/annotations/xmls/China_Drone_000003.xml,China_Drone,train,0,non_pothole,D10,annotation_box,199,304,512,350,105,105,512,512,512,512
datasets/rdd2022/China_Drone/train/images/China_Drone_000003.jpg,datasets/rdd2022/China_Drone/train/annotations/xmls/China_Drone_000003.xml,China_Drone,train,0,non_pothole,D00,annotation_box,199,1,277,297,46,0,431,385,512,512
datasets/rdd2022/China_Drone/train/images/China_Drone_000004.jpg,datasets/rdd2022/China_Drone/train/annotations/xmls/China_Drone_000004.xml,China_Drone,train,0,non_pothole,D20,annotation_box,17,196,306,286,0,53,376,429,512,512
datasets/rdd2022/China_Drone/train/images/China_Drone_000004.jpg,datasets/rdd2022/China_Drone/train/annotations/xmls/China_Drone_000004.xml,China_Drone,train,0,non_pothole,D10,annotation_box,50,285,215,319,26,195,240,409,512,512
datasets/rdd2022/China_Drone/train/images/China_Drone_000005.jpg,datasets/rdd2022/China_Drone/train/annotations/xmls/China_Drone_000005.xml,China_Drone,train,0,non_pothole,D10,annotation_box,1,266,211,295,0,144,273,417,512,512
datasets/rdd2022/China_Drone/train/images/China_Drone_000005.jpg,datasets/rdd2022/China_Drone/train/annotations/xmls/China_Drone_000005.xml,China_Drone,train,0,non_pothole,D00,annotation_box,131,200,162,496,0,127,385,512,512,512
datasets/rdd2022/China_Drone/train/images/China_Drone_000006.jpg,datasets/rdd2022/China_Drone/train/annotations/xmls/China_Drone_000006.xml,China_Drone,train,0,non_pothole,D10,annotation_box,301,462,472,502,276,290,498,512,512,512
datasets/rdd2022/China_Drone/train/images/China_Drone_000007.jpg,datasets/rdd2022/China_Drone/train/annotations/xmls/China_Drone_000007.xml,China_Drone,train,0,non_pothole,D00,annotation_box,2,32,56,474,0,0,512,512,512,512
datasets/rdd2022/China_Drone/train/images/China_Drone_000008.jpg,datasets/rdd2022/China_Drone/train/annotations/xmls/China_Drone_000008.xml,China_Drone,train,0,non_pothole,D10,annotation_box,56,351,359,451,10,118,404,512,512,512
datasets/rdd2022/China_Drone/train/images/China_Drone_000009.jpg,datasets/rdd2022/China_Drone/train/annotations/xmls/China_Drone_000009.xml,China_Drone,train,0,non_pothole,D00,annotation_box,223,1,251,167,129,0,345,216,512,512
datasets/rdd2022/China_Drone/train/images/China_Drone_000009.jpg,datasets/rdd2022/China_Drone/train/annotations/xmls/China_Drone_000009.xml,China_Drone,train,0,non_pothole,D00,annotation_box,166,171,192,512,0,69,443,512,512,512
datasets/rdd2022/China_Drone/train/images/China_Drone_000009.jpg,datasets/rdd2022/China_Drone/train/annotations/xmls/China_Drone_000009.xml,China_Drone,train,0,non_pothole,D00,annotation_box,230,172,253,295,162,154,322,314,512,512
datasets/rdd2022/China_Drone/train/images/China_Drone_000009.jpg,datasets/rdd2022/China_Drone/train/annotations/xmls/China_Drone_000009.xml,China_Drone,train,0,non_pothole,D00,annotation_box,226,411,263,512,179,381,310,512,512,512
datasets/rdd2022/China_Drone/train/images/China_Drone_000010.jpg,datasets/rdd2022/China_Drone/train/annotations/xmls/China_Drone_000010.xml,China_Drone,train,0,non_pothole,D00,annotation_box,272,1,307,92,230,0,348,118,512,512
datasets/rdd2022/China_Drone/train/images/China_Drone_000010.jpg,datasets/rdd2022/China_Drone/train/annotations/xmls/China_Drone_000010.xml,China_Drone,train,0,non_pothole,D10,annotation_box,244,284,341,310,230,234,356,360,512,512
datasets/rdd2022/China_Drone/train/images/China_Drone_000010.jpg,datasets/rdd2022/China_Drone/train/annotations/xmls/China_Drone_000010.xml,China_Drone,train,0,non_pothole,D00,annotation_box,285,301,350,445,224,280,411,467,512,512
